price,address,area,latLong.longitude,latLong.latitude,country,price_per_sqm
659750.0,"8401 SE 145th Pl, Portland, OR 97236",302.677974,-122.514336,45.462585,USA,2179.7093170710864
932750.0,"4933 SW Humphrey Park Rd, Portland, OR 97221",197.790487,-122.72805,45.508244,USA,4715.848644429497
787150.0,"4048 SW Hewett Blvd, Portland, OR 97221",221.666558,-122.718544,45.500202,USA,3551.0543723965793
682500.0,"2827 SE 27th Ave, Portland, OR 97202",197.511778,-122.638954,45.502235,USA,3455.49013284666
477750.0,"2241 NW Pettygrove St APT 7, Portland, OR 97210",117.893907,-122.69768,45.532887,USA,4052.3722739971627
773409.0,"4233 NE 18th Ave, Portland, OR 97211",199.74145,-122.64754,45.55421,USA,3872.050593404624
150150.0,"1631 NW Everett St, Portland, OR",,-122.687996,45.52517,USA,
672490.0,"4940 SW Pomona St, Portland, OR 97219",328.690814,-122.727905,45.444843,USA,2045.9653003871292
295750.0,"1221 SW 10th Ave, Portland, OR",,-122.68446,45.51656,USA,
254345.0,"1500 SW Skyline Blvd APT 11, Portland, OR 97221",103.12233,-122.73038,45.511677,USA,2466.439615939632
454090.0,"9841 NW Silver Ridge Loop, Portland, OR 97229",157.563488,-122.77795,45.538456,USA,2881.9494018817354
500409.0,"9050 SE Valentine Dr, Happy Valley, OR 97086",173.264095,-122.5698,45.458405,USA,2888.128668550746
418509.0,"4633 SE 35th Ave #3, Portland, OR 97202",185.806,-122.62848,45.48929,USA,2252.3976620776507
400400.0,"3939 N Marine Dr SLIP 23, Portland, OR 97217",112.41263,-122.70773,45.616013,USA,3561.8773442094543
482209.0,"6112 SE 55th Ave, Portland, OR 97206",205.222727,-122.60646,45.47829,USA,2349.686153424908
1023750.0,"5049 SW Bancroft St, Portland, OR 97221",353.495915,-122.72913,45.49243,USA,2896.0730706039417
568659.0,"4803 SE Rural St, Portland, OR 97206",173.542804,-122.613594,45.472103,USA,3276.765079812817
563290.0,"28 NE Going St, Portland, OR 97211",189.986635,-122.6661,45.556244,USA,2964.892767325449
477750.0,"8055 SE 8th Ave, Portland, OR 97202",108.139092,-122.6582,45.46482,USA,4417.921319331958
432250.0,"7044 N Fenwick Ave, Portland, OR 97217",137.682246,-122.68494,45.57421,USA,3139.4752232615383
454909.0,"7623 SW 49th Ave, Portland, OR 97219",100.521046,-122.727104,45.46931,USA,4525.510011107524
432159.0,"4919 SE 80th Ave, Portland, OR 97206",155.798331,-122.58104,45.48708,USA,2773.835876329125
571480.0,"5235 SW View Point Ter, Portland, OR 97239",235.23039599999998,-122.67805,45.48522,USA,2429.44793580163
272909.0,"6921 SE Pardee St, Portland, OR",,-122.59201,45.489563,USA,
536809.0,"16145 SE Webster Rd, Milwaukie, OR 97267",180.04601399999999,-122.58804,45.40623,USA,2981.510048870063
591409.0,"4933 NE Garfield Ave, Portland, OR 97211",253.718093,-122.66288,45.558823,USA,2330.9689624696966
364000.0,"2325 NE Flanders St APT 5, Portland, OR 97232",89.279783,-122.64199,45.526054,USA,4077.070841446826
1105650.0,"3622 NE Hassalo St, Portland, OR 97232",324.23147,-122.62524,45.530605,USA,3410.0638041088364
309400.0,"1817 N Jantzen Ave, Portland, OR 97217",92.903,-122.687485,45.61089,USA,3330.3553168358394
418509.0,"11821 SE Ash St, Portland, OR 97216",152.175114,-122.541306,45.521282,USA,2750.1802955771072
445809.0,"1644 NE 143rd Ave, Portland, OR 97230",193.702755,-122.515144,45.53522,USA,2301.5108897134687
